Index	X	Left to Right	X	Right to Left	X	Sum
279	1899/12/30 0:46:30	3	1899/12/30 0:46:30	8	1899/12/30 0:46:30	11
280	1899/12/30 0:46:40	3	1899/12/30 0:46:40	17	1899/12/30 0:46:40	20
281	1899/12/30 0:46:50	4	1899/12/30 0:46:50	10	1899/12/30 0:46:50	14
282	1899/12/30 0:47:00	7	1899/12/30 0:47:00	14	1899/12/30 0:47:00	21
283	1899/12/30 0:47:10	2	1899/12/30 0:47:10	17	1899/12/30 0:47:10	19
284	1899/12/30 0:47:20	2	1899/12/30 0:47:20	11	1899/12/30 0:47:20	13
285	1899/12/30 0:47:30	7	1899/12/30 0:47:30	11	1899/12/30 0:47:30	18
286	1899/12/30 0:47:40	6	1899/12/30 0:47:40	7	1899/12/30 0:47:40	13
287	1899/12/30 0:47:50	6	1899/12/30 0:47:50	5	1899/12/30 0:47:50	11
288	1899/12/30 0:48:00	5	1899/12/30 0:48:00	6	1899/12/30 0:48:00	11
289	1899/12/30 0:48:10	6	1899/12/30 0:48:10	3	1899/12/30 0:48:10	9
290	1899/12/30 0:48:20	5	1899/12/30 0:48:20	3	1899/12/30 0:48:20	8
291	1899/12/30 0:48:30	3	1899/12/30 0:48:30	4	1899/12/30 0:48:30	7
292	1899/12/30 0:48:40	7	1899/12/30 0:48:40	3	1899/12/30 0:48:40	10
293	1899/12/30 0:48:50	7	1899/12/30 0:48:50	5	1899/12/30 0:48:50	12
294	1899/12/30 0:49:00	6	1899/12/30 0:49:00	1	1899/12/30 0:49:00	7
