AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
60598;1;3144;3144;13.2595;1.8827;0;0;0;
60598;59;3221.8;3274.8;12.521;27.8277;6;3.1682;74.6706;
60598;52;3280.3999;3330;8.8478;29.5854;6.25;3.9021;78.832;
51789;57;1320;1352.4;-17.28;72.9;6;0;0;
51789;57;1368.6;1410;-9.7488;73.1523;6.25;6.7555;11.9531;
52911;2;1580;1580;-3.6155;116.4304;0;0;0;
52911;59;1654.2;1893.6;-8.3294;56.3568;6;3.3306;113.9494;
52911;55;1912.4;1950;-1.7264;55.1142;6.25;12.6099;123.18;
54878;2;1908;1908;-10.7424;117.224;0;0;0;
54878;54;2078.3999;2130;8.8666;46.9268;6.25;48.8897;131.6529;
61523;1;3288;3288;9.6112;0.61;0;0;0;
61523;59;3395.6001;3512.3999;-12.4522;74.2272;6;1.0167;118.3035;
61523;57;3542.2;3570;-17.2101;72.6268;6.25;23.5951;124.5805;
59932;2;3068;3068;-7.9432;115.7965;0;0;0;
59932;58;3260.3999;3270;24.4022;81.936;6.25;109.237;89.5211;
50113;2;976;976;5.7597;115.8176;0;0;0;
50113;59;1111;1200;-8.0326;39.8405;6;22.237;117.4682;
50113;53;1204;1290;-9.5936;38.096;6.25;22.8051;119.9027;
48579;51;960;998.4;-1.7899;20.4;6;0;0;
48579;2;1112;1112;0.6009;114.8581;0;20.0597;140.1936;
54527;2;1856;1856;-5.5282;115.4032;0;0;0;
54527;59;2099.2;2451.6001;-4.2225;24.3781;6;62.8577;194.1348;
54527;51;2462.8;2490;-9.6521;20.1852;6.25;67.5205;201.8056;
48774;51;960;994.8;-1.7899;20.4;6;0;0;
48774;2;1103;1103;0.1878;114.8777;0;7.1654;142.2843;
49747;58;1020;1054.8;24.3101;82.1;6;0;0;
49747;59;1271.8;1351.2;3.9751;42.0477;6;11.5286;185.8337;
49747;54;1372;1410;8.4962;47.0901;6.25;22.8162;196.2292;
58010;2;2580;2580;1.5403;116.9384;0;0;0;
58010;59;2629.6001;2792.3999;-14.6935;74.6122;6;1.7531;73.4611;
58010;57;2805.6001;2850;-17.0744;72.7708;6.25;9.3275;77.0144;
57773;1;2536;2536;13.5413;1.6982;0;0;0;
57773;59;2708.2;2782.8;18.7037;46.9739;6;5.3589;116.6381;
57773;54;2787.2;2850;16.9351;47.1115;6.25;6.5141;118.8357;
52612;2;1408;1408;4.6617;116.9763;0;0;0;
52612;59;1508.4;1890;-11.2145;57.7157;6;2.3866;97.9579;
52612;55;1921.4;1950;-9.8006;55.57;6.25;25.8827;105.5546;
48376;57;600;601.2;5.7199;72.9;6;0;0;
48376;59;725.4;1014;12.9122;24.8702;6;2.6487;122.2803;
48376;51;1025.4;1050;5.8585;20.2698;6.25;6.0315;131.866;
55386;57;2040;2043.6;-17.28;72.9;6;0;0;
55386;2;2100.3999;2100.3999;2.3438;114.8726;0;1.6874;72.1057;
55028;2;1976;1976;-0.0063;115.8458;0;0;0;
55028;58;2532.8;2550;24.1761;81.9731;6.25;334.1413;170.8512;
52040;58;1740;1761.6;24.3101;82.1;6;0;0;
52040;14;1866.4;1866.4;14.5086;38.6891;6;6.9172;98.7539;
56932;52;2520;2521.2;16.6801;29.6;6;0;0;
56932;1;2585.2;2585.2;0.2721;2.5897;0;5.9942;61.546;
57127;1;2432;2432;-2.1843;0.4564;0;0;0;
57127;59;2518.8;2605.2;-4.8038;57.9164;6;4.758;108.1902;
57127;55;2626.6001;2670;-9.4219;55.3147;6.25;18.7368;117.5332;
58320;2;2632;2632;-10.3483;115.8503;0;0;0;
58320;56;2715.2;2790;1.052;64.8387;6.25;7.8816;115.2367;
55403;54;2040;2041.2;1.2001;47.1;6;0;0;
55403;59;2177.8;2605.2;-5.2055;57.5987;6;29.9455;125.9009;
55403;55;2629;2670;-9.4936;55.4122;6.25;45.8244;133.0831;
48739;54;600;614.4;16.7001;47.1;6;0;0;
48739;1;662.2;662.2;0.6026;2.7395;0;8.4708;72.9719;
57025;2;2412;2412;5.5009;117.1894;0;0;0;
57025;59;2486.8;2605.2;-7.4989;60.3441;6;1.6522;101.9948;
57025;55;2631.3999;2670;-9.8409;55.6823;6.25;20.9474;109.4414;
