AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
28946;2;2310;2310;2.8379;116.5362;0;0;0;
28946;59;2363.6001;2818.8;-14.6148;73.8329;6;7.0987;73.9149;
28946;57;2828.2;2850;-17.2004;72.6382;6.25;12.4549;77.3126;
30263;2;2436;2436;-6.4759;116.8523;0;0;0;
30263;59;2518.2;3345.6001;-11.9257;57.1652;6;13.5828;105.7505;
30263;55;3372.2;3390;-9.9105;55.4784;6.25;32.5739;115.3071;
7907;55;1860;1878;-1.7;55.4;6;0;0;
7907;59;1970.6;2570.3999;21.5836;29.1747;6;27.8958;108.4456;
7907;59;2768.2;3532.8;-3.7169;44.9185;6;154.2659;226.8537;
20542;2;1725;1725;10.0097;117.0174;0;0;0;
20542;59;1855.2;1972.8;4.8951;39.1607;6;5.5874;133.9227;
20542;53;2000.6;2010;-1.535;37.7231;6.25;23.4237;143.5731;
2002;55;420;458.4;5.8;55.4;6;0;0;
2002;1;561.2;561.2;0.4177;2.6121;0;23.1602;106.4353;
13973;58;3180;3214.8;8.8102;82.1;6;0;0;
13973;59;3268;3600;-12.6393;76.5405;6;361.6154;34.3635;
38716;1;3010;3010;-11.7354;2.0088;0;0;0;
38716;2;3101;3101;-0.3498;114.8853;0;5.9461;125.5375;
13304;58;3180;3183.6001;24.3101;82.1;6;0;0;
13304;2;3283.3999;3283.3999;1.3918;114.8974;0;25.6708;91.2421;
10402;58;2460;2492.3999;16.8102;82.1;6;0;0;
10402;2;2622;2622;-0.7765;114.8967;0;49.375;88.5481;
4287;58;1020;1068;8.8102;82.1;6;0;0;
4287;53;1229.8;1290;-1.9361;37.8656;6.25;28.3148;140.0347;
14169;56;3420;3424.8;8.69;64.6;6;0;0;
14169;2;3593.8;3593.8;1.2183;114.7872;0;80.1559;124.0541;
28418;2;2270;2270;9.4063;116.5459;0;0;0;
28418;1;2373.6001;2373.6001;-0.883;2.6065;0;1.417;123.3305;
11035;2;1010;1010;-0.7663;116.1772;0;0;0;
11035;1;1093.8;1093.8;1.0843;2.8005;0;4.8536;116.3885;
4258;57;600;603.6;-1.7801;72.9;6;0;0;
4258;59;734;1015.2;12.3813;22.6884;6;3.8748;138.4492;
4258;59;1148;1251.6;2.3336;39.5529;6;37.5374;252.4348;
